epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,372.348,1.16053,1.6483,0.78827,0.95174,0.87356,0.7242,0.82257,0.54344,0.50201,0.56393,0.45224,0.25052,1.11416,1.17562,0.75288,0.95871,0.000133695,0.000133695,0.000133695
79,376.826,1.25075,1.73276,0.84303,0.97181,0.8651,0.71535,0.81682,0.53921,0.48993,0.56498,0.44982,0.24694,1.12807,1.20087,0.75867,0.95662,0.000123596,0.000123596,0.000123596
80,382.052,1.20945,1.7038,0.81631,0.96409,0.89831,0.7247,0.81774,0.54668,0.50791,0.56959,0.45709,0.24664,1.08423,1.17143,0.75988,0.95064,0.000113873,0.000113873,0.000113873
81,387.341,1.2439,1.70209,0.82152,0.96916,0.86021,0.73716,0.8233,0.55176,0.54372,0.54339,0.4622,0.25235,1.07182,1.12628,0.75229,0.94051,0.000104537,0.000104537,0.000104537
82,391.983,1.18627,1.68259,0.79781,0.95749,0.85908,0.74694,0.82191,0.55527,0.55303,0.52411,0.44677,0.24418,1.06094,1.09837,0.75536,0.93984,9.55951e-05,9.55951e-05,9.55951e-05
83,397.293,1.16794,1.69721,0.79507,0.95084,0.86327,0.74926,0.82407,0.56074,0.54525,0.52236,0.44969,0.24766,1.05757,1.0951,0.75205,0.9434,8.70577e-05,8.70577e-05,8.70577e-05
84,402.624,1.19611,1.7264,0.78743,0.94583,0.85038,0.75955,0.82929,0.55724,0.5454,0.51588,0.44906,0.24406,1.07494,1.11256,0.75481,0.94939,7.89327e-05,7.89327e-05,7.89327e-05
85,407.918,1.20218,1.7287,0.78678,0.94882,0.86529,0.74756,0.82983,0.55662,0.55194,0.50265,0.44515,0.24363,1.09715,1.13143,0.75832,0.95212,7.12282e-05,7.12282e-05,7.12282e-05
86,413.413,1.16217,1.66517,0.78929,0.95314,0.86759,0.74699,0.83223,0.55708,0.54679,0.49653,0.43679,0.24136,1.08604,1.13778,0.75688,0.94454,6.39518e-05,6.39518e-05,6.39518e-05
87,418.685,1.21485,1.72343,0.8091,0.96109,0.86039,0.73262,0.82492,0.55091,0.52894,0.49334,0.43524,0.24432,1.07209,1.13096,0.7516,0.94318,5.71106e-05,5.71106e-05,5.71106e-05
88,424.276,1.22963,1.73356,0.80839,0.95513,0.87602,0.75855,0.83441,0.56372,0.51978,0.50087,0.43425,0.24156,1.05916,1.11944,0.7469,0.93655,5.07115e-05,5.07115e-05,5.07115e-05
89,429.833,1.19803,1.62844,0.78396,0.96139,0.86374,0.73976,0.83411,0.56395,0.52496,0.50004,0.44082,0.24515,1.06149,1.10995,0.74496,0.9365,4.47606e-05,4.47606e-05,4.47606e-05
