epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,186.255,0.61063,0.51097,0.85576,0.94321,0.90868,0.95597,0.74709,0.61434,0.54978,0.78469,0.00056704,0.00056704,0.00056704
48,190.531,0.61386,0.50277,0.8582,0.91584,0.96424,0.95647,0.74426,0.65051,0.52426,0.78546,0.000551584,0.000551584,0.000551584
49,194.361,0.62151,0.5048,0.87749,0.89077,0.95428,0.95179,0.73299,0.67565,0.55163,0.78776,0.000536081,0.000536081,0.000536081
50,198.313,0.58288,0.50532,0.859,0.92028,0.96424,0.95107,0.74101,0.65013,0.55452,0.78942,0.000520548,0.000520548,0.000520548
51,202.141,0.58604,0.47292,0.85676,0.90801,0.96123,0.92548,0.74028,0.64401,0.56008,0.78706,0.000505,0.000505,0.000505
52,206.622,0.57343,0.47346,0.8594,0.89242,0.94572,0.91497,0.73674,0.66365,0.54987,0.78833,0.000489452,0.000489452,0.000489452
53,210.398,0.60184,0.50904,0.86672,0.89197,0.93031,0.91821,0.74314,0.66327,0.5605,0.79299,0.000473919,0.000473919,0.000473919
54,214.87,0.54956,0.47217,0.85473,0.93208,0.94572,0.94032,0.73621,0.65844,0.53378,0.81455,0.000458416,0.000458416,0.000458416
55,219.462,0.61051,0.49822,0.85548,0.92152,0.93554,0.94701,0.748,0.62659,0.55293,0.8073,0.00044296,0.00044296,0.00044296
56,223.833,0.55011,0.47777,0.86674,0.87648,0.9272,0.93829,0.76983,0.58928,0.52496,0.80649,0.000427565,0.000427565,0.000427565
57,228.293,0.56734,0.48168,0.85129,0.92207,0.94171,0.95023,0.78158,0.56822,0.50178,0.8031,0.000412246,0.000412246,0.000412246
58,232.045,0.51831,0.43402,0.83943,0.91964,0.96113,0.95043,0.78513,0.55197,0.48297,0.79502,0.000397019,0.000397019,0.000397019
59,235.795,0.519,0.44197,0.85212,0.91872,0.94494,0.94946,0.78563,0.54798,0.49282,0.78216,0.000381899,0.000381899,0.000381899
60,239.649,0.51323,0.4424,0.8352,0.95002,0.94449,0.95479,0.77286,0.57932,0.5143,0.78028,0.000366899,0.000366899,0.000366899
61,243.405,0.51198,0.43509,0.84378,0.94834,0.94572,0.95695,0.78475,0.57565,0.51315,0.78172,0.000352037,0.000352037,0.000352037
62,247.293,0.54168,0.46368,0.86852,0.96959,0.94572,0.96189,0.79753,0.55774,0.51444,0.77952,0.000337325,0.000337325,0.000337325
63,251.095,0.50877,0.44233,0.84501,0.97339,0.94138,0.95933,0.8048,0.55433,0.50609,0.78388,0.000322778,0.000322778,0.000322778
64,254.896,0.51842,0.42516,0.84636,0.9326,0.94572,0.95384,0.79642,0.56508,0.49996,0.78697,0.000308412,0.000308412,0.000308412
65,258.589,0.53936,0.44157,0.86482,0.95517,0.94572,0.95355,0.78365,0.56251,0.49363,0.78702,0.000294239,0.000294239,0.000294239
66,262.395,0.51621,0.43639,0.84063,0.93621,0.94572,0.9507,0.77625,0.54894,0.47621,0.78862,0.000280275,0.000280275,0.000280275
67,266.363,0.49198,0.42216,0.83025,0.952,0.94572,0.9565,0.8067,0.52834,0.47471,0.78677,0.000266532,0.000266532,0.000266532
68,270.407,0.49857,0.42068,0.83192,0.9517,0.94572,0.95949,0.80154,0.54709,0.49045,0.78847,0.000253024,0.000253024,0.000253024
69,274.625,0.5329,0.42449,0.83758,0.94946,0.94572,0.95852,0.80168,0.5467,0.48519,0.78839,0.000239766,0.000239766,0.000239766
70,278.575,0.51274,0.41856,0.84012,0.94512,0.94572,0.95696,0.81046,0.5179,0.46706,0.78179,0.000226769,0.000226769,0.000226769
71,283.082,0.51007,0.41297,0.82037,0.94902,0.94572,0.95687,0.79876,0.53249,0.49368,0.7777,0.000214046,0.000214046,0.000214046
